Away Team,Away Score,Home Team,Home Score
St. Louis Cardinals,3,Atlanta Braves,2
Los Angeles Angels,1,Baltimore Orioles,4
New York Yankees,6,Boston Red Sox,5
Detroit Tigers,2,Chicago White Sox,1
Pittsburgh Pirates,4,Cincinnati Reds,2
Pittsburgh Pirates,1,Cincinnati Reds,5
Kansas City Royals,2,Houston Astros,5
Chicago Cubs,3,Los Angeles Dodgers,5
Miami Marlins,0,New York Mets,10
Washington Nationals,3,Philadelphia Phillies,5
San Francisco Giants,1,San Diego Padres,2
Toronto Blue Jays,3,Seattle Mariners,8
Colorado Rockies,6,Arizona D'Backs,5
Washington Nationals,2,Atlanta Braves,12
Los Angeles Angels,4,Baltimore Orioles,5
New York Yankees,12,Boston Red Sox,5
Detroit Tigers,7,Chicago White Sox,5
Tampa Bay Rays,1,Cincinnati Reds,2
Cleveland Guardians,3,Kansas City Royals,4
Chicago Cubs,3,Los Angeles Dodgers,4
Pittsburgh Pirates,3,Milwaukee Brewers,4
Miami Marlins,5,New York Mets,2
Houston Astros,8,Oakland Athletics,3
San Francisco Giants,3,San Diego Padres,6
Toronto Blue Jays,2,Seattle Mariners,5
Philadelphia Phillies,2,St. Louis Cardinals,0
Minnesota Twins,5,Texas Rangers,6
Colorado Rockies,2,Arizona D'Backs,9
Washington Nationals,3,Atlanta Braves,4
Los Angeles Angels,0,Baltimore Orioles,1
New York Yankees,5,Boston Red Sox,6
Detroit Tigers,0,Chicago White Sox,8
Tampa Bay Rays,4,Cincinnati Reds,5
Cleveland Guardians,13,Kansas City Royals,1
Chicago Cubs,2,Los Angeles Dodgers,4
Pittsburgh Pirates,4,Milwaukee Brewers,3
Miami Marlins,4,New York Mets,5
Houston Astros,2,Oakland Athletics,3
San Francisco Giants,3,San Diego Padres,1
Toronto Blue Jays,1,Seattle Mariners,2
Philadelphia Phillies,1,St. Louis Cardinals,0
Minnesota Twins,7,Texas Rangers,9
Colorado Rockies,3,Arizona D'Backs,2
Washington Nationals,3,Atlanta Braves,4
Los Angeles Angels,5,Baltimore Orioles,9
New York Yankees,6,Boston Red Sox,11
Detroit Tigers,2,Chicago White Sox,4
Tampa Bay Rays,5,Cincinnati Reds,10
Cleveland Guardians,1,Kansas City Royals,5
Chicago Cubs,9,Los Angeles Dodgers,11
Pittsburgh Pirates,8,Milwaukee Brewers,6
Miami Marlins,2,New York Mets,0
Houston Astros,6,Oakland Athletics,1
San Francisco Giants,12,San Diego Padres,0
Toronto Blue Jays,5,Seattle Mariners,6
Philadelphia Phillies,3,St. Louis Cardinals,4
Minnesota Twins,6,Texas Rangers,5
New York Mets,4,Atlanta Braves,1
Chicago White Sox,4,Cleveland Guardians,8
San Diego Padres,6,Colorado Rockies,5
Detroit Tigers,1,Kansas City Royals,3
Detroit Tigers,3,Kansas City Royals,7
Pittsburgh Pirates,5,Miami Marlins,1
Arizona D'Backs,4,San Francisco Giants,3
Philadelphia Phillies,1,St. Louis Cardinals,6
Boston Red Sox,5,Tampa Bay Rays,10
Oakland Athletics,8,Texas Rangers,10
Houston Astros,6,Los Angeles Angels,5
New York Mets,1,Atlanta Braves,4
Baltimore Orioles,4,Chicago Cubs,2
Chicago White Sox,1,Cleveland Guardians,4
Chicago White Sox,7,Cleveland Guardians,0
San Diego Padres,3,Colorado Rockies,5
Detroit Tigers,7,Kansas City Royals,5
Pittsburgh Pirates,3,Miami Marlins,2
Milwaukee Brewers,6,Minnesota Twins,3
Cincinnati Reds,4,New York Yankees,3
Arizona D'Backs,0,San Francisco Giants,13
Los Angeles Dodgers,6,St. Louis Cardinals,7
Boston Red Sox,2,Tampa Bay Rays,3
Oakland Athletics,14,Texas Rangers,7
Philadelphia Phillies,3,Toronto Blue Jays,4
Houston Astros,1,Los Angeles Angels,7
New York Mets,7,Atlanta Braves,3
Baltimore Orioles,7,Chicago Cubs,1
Chicago White Sox,2,Cleveland Guardians,1
San Diego Padres,6,Colorado Rockies,10
Detroit Tigers,2,Kansas City Royals,5
Pittsburgh Pirates,4,Miami Marlins,5
Milwaukee Brewers,1,Minnesota Twins,4
Cincinnati Reds,6,New York Yankees,7
Arizona D'Backs,3,San Francisco Giants,4
Los Angeles Dodgers,7,St. Louis Cardinals,6
Boston Red Sox,1,Tampa Bay Rays,4
Oakland Athletics,2,Texas Rangers,5
Philadelphia Phillies,2,Toronto Blue Jays,8
Seattle Mariners,6,Washington Nationals,4
Seattle Mariners,2,Washington Nationals,1
Houston Astros,3,Los Angeles Angels,2
New York Mets,8,Chicago Cubs,0
Detroit Tigers,0,Cleveland Guardians,4
San Diego Padres,5,Colorado Rockies,8
Pittsburgh Pirates,2,Miami Marlins,3
Chicago White Sox,12,Minnesota Twins,2
Cincinnati Reds,7,New York Yankees,6
Milwaukee Brewers,3,San Francisco Giants,2
Los Angeles Dodgers,4,St. Louis Cardinals,0
Boston Red Sox,4,Tampa Bay Rays,5
Seattle Mariners,6,Texas Rangers,5
Kansas City Royals,3,Toronto Blue Jays,1
Atlanta Braves,5,Washington Nationals,4
Los Angeles Dodgers,9,Los Angeles Angels,1
Detroit Tigers,5,Cleveland Guardians,6
Pittsburgh Pirates,2,Colorado Rockies,13
Oakland Athletics,5,Houston Astros,1
Philadelphia Phillies,2,Miami Marlins,1
Chicago White Sox,6,Minnesota Twins,2
Boston Red Sox,5,New York Yankees,4
Arizona D'Backs,3,San Diego Padres,5
Milwaukee Brewers,5,San Francisco Giants,8
Cincinnati Reds,3,St. Louis Cardinals,7
Baltimore Orioles,4,Tampa Bay Rays,5
Seattle Mariners,8,Texas Rangers,3
Kansas City Royals,1,Toronto Blue Jays,8
Atlanta Braves,8,Washington Nationals,4
Los Angeles Dodgers,7,Los Angeles Angels,1
New York Mets,2,Chicago Cubs,1
New York Mets,4,Chicago Cubs,3
Detroit Tigers,0,Cleveland Guardians,10
Pittsburgh Pirates,0,Colorado Rockies,2
Oakland Athletics,0,Houston Astros,5
Philadelphia Phillies,10,Miami Marlins,0
Chicago White Sox,3,Minnesota Twins,6
Boston Red Sox,1,New York Yankees,14
Arizona D'Backs,3,San Diego Padres,4
Milwaukee Brewers,1,San Francisco Giants,2
Cincinnati Reds,3,St. Louis Cardinals,11
Baltimore Orioles,6,Tampa Bay Rays,4
Seattle Mariners,3,Texas Rangers,2
Kansas City Royals,5,Toronto Blue Jays,6
Atlanta Braves,6,Washington Nationals,3
New York Mets,2,Chicago Cubs,3
Pittsburgh Pirates,8,Colorado Rockies,3
Oakland Athletics,4,Houston Astros,3
Philadelphia Phillies,4,Miami Marlins,0
Chicago White Sox,11,Minnesota Twins,0
Boston Red Sox,2,New York Yankees,13
Arizona D'Backs,3,San Diego Padres,1
Milwaukee Brewers,5,San Francisco Giants,9
Baltimore Orioles,5,Tampa Bay Rays,7
Seattle Mariners,6,Texas Rangers,2
Kansas City Royals,2,Toronto Blue Jays,4
Atlanta Braves,3,Washington Nationals,7
New York Yankees,2,Houston Astros,3
New York Yankees,5,Houston Astros,7
San Francisco Giants,6,Los Angeles Dodgers,9
Texas Rangers,8,Miami Marlins,0
Detroit Tigers,7,Oakland Athletics,2
Detroit Tigers,0,Oakland Athletics,5
Washington Nationals,1,Arizona D'Backs,10
Los Angeles Angels,1,Atlanta Braves,8
New York Yankees,7,Baltimore Orioles,6
Toronto Blue Jays,28,Boston Red Sox,5
Cleveland Guardians,8,Chicago White Sox,2
St. Louis Cardinals,5,Cincinnati Reds,9
Tampa Bay Rays,7,Kansas City Royals,3
San Francisco Giants,1,Los Angeles Dodgers,5
Colorado Rockies,5,Milwaukee Brewers,6
San Diego Padres,4,New York Mets,1
Texas Rangers,4,Oakland Athletics,5
Chicago Cubs,15,Philadelphia Phillies,2
Miami Marlins,8,Pittsburgh Pirates,1
Houston Astros,5,Seattle Mariners,2
Washington Nationals,2,Arizona D'Backs,7
Los Angeles Angels,2,Atlanta Braves,7
New York Yankees,3,Baltimore Orioles,6
Toronto Blue Jays,4,Boston Red Sox,1
Cleveland Guardians,7,Chicago White Sox,4
Cleveland Guardians,4,Chicago White Sox,5
St. Louis Cardinals,6,Cincinnati Reds,3
Minnesota Twins,8,Detroit Tigers,4
Tampa Bay Rays,3,Kansas City Royals,6
San Francisco Giants,2,Los Angeles Dodgers,4
Colorado Rockies,4,Milwaukee Brewers,9
San Diego Padres,2,New York Mets,1
Texas Rangers,1,Oakland Athletics,3
Chicago Cubs,6,Philadelphia Phillies,2
Miami Marlins,0,Pittsburgh Pirates,1
Houston Astros,3,Seattle Mariners,1
Washington Nationals,4,Arizona D'Backs,3
Los Angeles Angels,9,Atlanta Braves,1
New York Yankees,6,Baltimore Orioles,0
Toronto Blue Jays,8,Boston Red Sox,4
Cleveland Guardians,3,Chicago White Sox,6
St. Louis Cardinals,3,Cincinnati Reds,6
Minnesota Twins,9,Detroit Tigers,1
Tampa Bay Rays,2,Kansas City Royals,4
San Francisco Giants,4,Los Angeles Dodgers,7
Colorado Rockies,9,Milwaukee Brewers,10
San Diego Padres,5,New York Mets,8
Texas Rangers,11,Oakland Athletics,8
Chicago Cubs,4,Philadelphia Phillies,3
Miami Marlins,6,Pittsburgh Pirates,5
Houston Astros,8,Seattle Mariners,5
San Francisco Giants,0,Arizona D'Backs,7
Tampa Bay Rays,1,Baltimore Orioles,5
Cleveland Guardians,1,Boston Red Sox,3
Pittsburgh Pirates,2,Chicago Cubs,3
Miami Marlins,2,Cincinnati Reds,11
San Diego Padres,4,Detroit Tigers,12
Los Angeles Angels,0,Kansas City Royals,7
Washington Nationals,4,Los Angeles Dodgers,1
Colorado Rockies,2,Milwaukee Brewers,0
Houston Astros,5,Oakland Athletics,7
Atlanta Braves,4,Philadelphia Phillies,6
Texas Rangers,3,Seattle Mariners,4
San Francisco Giants,3,Arizona D'Backs,7
Tampa Bay Rays,3,Baltimore Orioles,5
Cleveland Guardians,8,Boston Red Sox,3
Pittsburgh Pirates,2,Chicago Cubs,4
Miami Marlins,2,Cincinnati Reds,1
Chicago White Sox,2,Colorado Rockies,1
San Diego Padres,6,Detroit Tigers,4
Los Angeles Angels,6,Kansas City Royals,0
Washington Nationals,8,Los Angeles Dodgers,3
Minnesota Twins,6,Milwaukee Brewers,7
New York Yankees,3,New York Mets,6
Houston Astros,3,Oakland Athletics,5
Atlanta Braves,6,Philadelphia Phillies,3
Texas Rangers,4,Seattle Mariners,5
St. Louis Cardinals,3,Toronto Blue Jays,10
San Francisco Giants,3,Arizona D'Backs,5
Tampa Bay Rays,6,Baltimore Orioles,4
Cleveland Guardians,7,Boston Red Sox,6
Miami Marlins,3,Cincinnati Reds,5
Chicago White Sox,5,Colorado Rockies,6
San Diego Padres,3,Detroit Tigers,4
Los Angeles Angels,4,Kansas City Royals,0
Washington Nationals,1,Los Angeles Dodgers,7
Minnesota Twins,4,Milwaukee Brewers,10
New York Yankees,2,New York Mets,3
Houston Astros,2,Oakland Athletics,4
Atlanta Braves,2,Philadelphia Phillies,7
Texas Rangers,2,Seattle Mariners,4
St. Louis Cardinals,6,Toronto Blue Jays,1
Texas Rangers,2,Los Angeles Angels,0
Tampa Bay Rays,0,Baltimore Orioles,3
Cleveland Guardians,2,Boston Red Sox,4
Miami Marlins,7,Cincinnati Reds,6
Los Angeles Dodgers,13,Colorado Rockies,0
Seattle Mariners,2,Houston Astros,4
Kansas City Royals,0,New York Yankees,1
Philadelphia Phillies,8,Pittsburgh Pirates,7
Chicago Cubs,2,San Francisco Giants,4
Detroit Tigers,3,Toronto Blue Jays,5
Texas Rangers,7,Los Angeles Angels,2
Arizona D'Backs,2,Atlanta Braves,5
Milwaukee Brewers,4,Boston Red Sox,1
Oakland Athletics,7,Chicago White Sox,3
Baltimore Orioles,6,Cincinnati Reds,2
Los Angeles Dodgers,5,Colorado Rockies,4
Seattle Mariners,1,Houston Astros,11
New York Mets,6,Miami Marlins,4
Kansas City Royals,5,New York Yankees,11
Philadelphia Phillies,4,Pittsburgh Pirates,2
Minnesota Twins,1,San Diego Padres,10
Chicago Cubs,4,San Francisco Giants,2
Cleveland Guardians,4,Tampa Bay Rays,1
Detroit Tigers,4,Toronto Blue Jays,2
St. Louis Cardinals,6,Washington Nationals,2
Texas Rangers,7,Los Angeles Angels,9
Arizona D'Backs,2,Atlanta Braves,6
Milwaukee Brewers,9,Boston Red Sox,4
Oakland Athletics,2,Chicago White Sox,3
Baltimore Orioles,2,Cincinnati Reds,8
Los Angeles Dodgers,3,Colorado Rockies,5
Seattle Mariners,5,Houston Astros,4
New York Mets,4,Miami Marlins,0
Kansas City Royals,2,New York Yankees,8
Philadelphia Phillies,2,Pittsburgh Pirates,1
Minnesota Twins,7,San Diego Padres,4
Chicago Cubs,4,San Francisco Giants,5
Cleveland Guardians,4,Tampa Bay Rays,6
Detroit Tigers,3,Toronto Blue Jays,5
St. Louis Cardinals,6,Washington Nationals,7
Texas Rangers,5,Los Angeles Angels,2
Arizona D'Backs,0,Atlanta Braves,1
Milwaukee Brewers,2,Boston Red Sox,7
Oakland Athletics,1,Chicago White Sox,4
Baltimore Orioles,2,Cincinnati Reds,3
Los Angeles Dodgers,7,Colorado Rockies,3
Seattle Mariners,2,Houston Astros,3
New York Mets,9,Miami Marlins,3
Kansas City Royals,8,New York Yankees,6
Philadelphia Phillies,8,Pittsburgh Pirates,2
Minnesota Twins,2,San Diego Padres,3
Chicago Cubs,0,San Francisco Giants,4
Cleveland Guardians,5,Tampa Bay Rays,3
Detroit Tigers,1,Toronto Blue Jays,4
St. Louis Cardinals,5,Washington Nationals,0
Kansas City Royals,2,Chicago White Sox,1
Arizona D'Backs,5,Cleveland Guardians,6
Boston Red Sox,3,Houston Astros,2
Cincinnati Reds,3,Miami Marlins,1
Detroit Tigers,3,Minnesota Twins,5
Seattle Mariners,2,New York Yankees,7
Colorado Rockies,1,San Diego Padres,4
Los Angeles Dodgers,8,San Francisco Giants,2
Baltimore Orioles,7,Texas Rangers,2
New York Mets,7,Washington Nationals,3
Oakland Athletics,1,Los Angeles Angels,3
Philadelphia Phillies,1,Atlanta Braves,13
Kansas City Royals,2,Chicago White Sox,9
Arizona D'Backs,6,Cleveland Guardians,3
Boston Red Sox,2,Houston Astros,1
Cincinnati Reds,2,Miami Marlins,1
Detroit Tigers,5,Minnesota Twins,3
Seattle Mariners,8,New York Yankees,6
Milwaukee Brewers,3,Pittsburgh Pirates,5
Colorado Rockies,5,San Diego Padres,13
Colorado Rockies,2,San Diego Padres,3
Los Angeles Dodgers,9,San Francisco Giants,5
Chicago Cubs,0,St. Louis Cardinals,6
Toronto Blue Jays,3,Tampa Bay Rays,1
Baltimore Orioles,8,Texas Rangers,2
New York Mets,1,Washington Nationals,5
Oakland Athletics,3,Los Angeles Angels,1
Philadelphia Phillies,3,Atlanta Braves,1
Kansas City Royals,1,Chicago White Sox,4
Arizona D'Backs,4,Cleveland Guardians,7
Boston Red Sox,1,Houston Astros,6
Cincinnati Reds,0,Miami Marlins,3
Detroit Tigers,1,Minnesota Twins,4
Seattle Mariners,7,New York Yankees,3
Milwaukee Brewers,7,Pittsburgh Pirates,8
Colorado Rockies,1,San Diego Padres,9
Los Angeles Dodgers,3,San Francisco Giants,0
Toronto Blue Jays,2,Tampa Bay Rays,3
Baltimore Orioles,6,Texas Rangers,3
New York Mets,9,Washington Nationals,5
Oakland Athletics,8,Los Angeles Angels,7
Houston Astros,6,Cleveland Guardians,0
Tampa Bay Rays,6,Detroit Tigers,2
Boston Red Sox,3,Kansas City Royals,7
Toronto Blue Jays,9,Minnesota Twins,3
Atlanta Braves,4,New York Mets,6
Washington Nationals,4,Philadelphia Phillies,5
Milwaukee Brewers,4,Pittsburgh Pirates,5
Colorado Rockies,7,San Diego Padres,3
Los Angeles Dodgers,5,San Francisco Giants,3
Chicago Cubs,3,St. Louis Cardinals,4
Chicago Cubs,2,St. Louis Cardinals,7
Chicago White Sox,2,Texas Rangers,3
Colorado Rockies,5,Arizona D'Backs,6
Pittsburgh Pirates,0,Baltimore Orioles,1
Miami Marlins,1,Chicago Cubs,2
Houston Astros,9,Cleveland Guardians,3
Tampa Bay Rays,5,Detroit Tigers,3
Boston Red Sox,7,Kansas City Royals,4
San Diego Padres,1,Los Angeles Dodgers,8
Cincinnati Reds,1,Milwaukee Brewers,5
Toronto Blue Jays,5,Minnesota Twins,6
Atlanta Braves,9,New York Mets,6
Washington Nationals,2,Philadelphia Phillies,7
Los Angeles Angels,4,Seattle Mariners,3
New York Yankees,3,St. Louis Cardinals,4
Chicago White Sox,2,Texas Rangers,1
Colorado Rockies,3,Arizona D'Backs,2
Pittsburgh Pirates,3,Baltimore Orioles,6
Miami Marlins,0,Chicago Cubs,4
Houston Astros,1,Cleveland Guardians,4
Tampa Bay Rays,1,Detroit Tigers,9
Boston Red Sox,4,Kansas City Royals,5
San Diego Padres,3,Los Angeles Dodgers,8
Cincinnati Reds,7,Milwaukee Brewers,5
Toronto Blue Jays,3,Minnesota Twins,7
Atlanta Braves,5,New York Mets,8
Atlanta Braves,2,New York Mets,6
San Francisco Giants,7,Oakland Athletics,3
Washington Nationals,5,Philadelphia Phillies,11
Los Angeles Angels,1,Seattle Mariners,2
Los Angeles Angels,7,Seattle Mariners,1
New York Yankees,0,St. Louis Cardinals,1
Chicago White Sox,0,Texas Rangers,8
Colorado Rockies,4,Arizona D'Backs,6
Pittsburgh Pirates,8,Baltimore Orioles,1
Miami Marlins,3,Chicago Cubs,0
Houston Astros,0,Cleveland Guardians,1
Tampa Bay Rays,7,Detroit Tigers,0
Boston Red Sox,5,Kansas City Royals,13
San Diego Padres,0,Los Angeles Dodgers,4
Cincinnati Reds,4,Milwaukee Brewers,2
Toronto Blue Jays,3,Minnesota Twins,2
Atlanta Braves,2,New York Mets,5
San Francisco Giants,6,Oakland Athletics,4
Washington Nationals,1,Philadelphia Phillies,13
Los Angeles Angels,3,Seattle Mariners,6
New York Yankees,9,St. Louis Cardinals,12
Chicago White Sox,8,Texas Rangers,2
Pittsburgh Pirates,0,Arizona D'Backs,3
Toronto Blue Jays,4,Baltimore Orioles,7
Washington Nationals,3,Chicago Cubs,6
Cincinnati Reds,1,New York Mets,5
Los Angeles Angels,1,Oakland Athletics,0
San Francisco Giants,1,San Diego Padres,0
New York Yankees,9,Seattle Mariners,4
Pittsburgh Pirates,4,Arizona D'Backs,6
Toronto Blue Jays,5,Baltimore Orioles,6
Atlanta Braves,9,Boston Red Sox,7
Washington Nationals,6,Chicago Cubs,5
St. Louis Cardinals,5,Colorado Rockies,16
Cleveland Guardians,5,Detroit Tigers,2
Texas Rangers,5,Houston Astros,7
Chicago White Sox,2,Kansas City Royals,4
Chicago White Sox,3,Kansas City Royals,2
Minnesota Twins,3,Los Angeles Dodgers,10
Tampa Bay Rays,3,Milwaukee Brewers,5
Cincinnati Reds,2,New York Mets,6
Los Angeles Angels,5,Oakland Athletics,1
Miami Marlins,1,Philadelphia Phillies,4
San Francisco Giants,4,San Diego Padres,7
New York Yankees,0,Seattle Mariners,1
Pittsburgh Pirates,6,Arizona D'Backs,4
Atlanta Braves,8,Boston Red Sox,4
Washington Nationals,2,Chicago Cubs,4
St. Louis Cardinals,9,Colorado Rockies,5
Cleveland Guardians,3,Detroit Tigers,2
Texas Rangers,8,Houston Astros,4
Chicago White Sox,3,Kansas City Royals,8
Minnesota Twins,5,Los Angeles Dodgers,8
Tampa Bay Rays,3,Milwaukee Brewers,4
Cincinnati Reds,2,New York Mets,10
Los Angeles Angels,5,Oakland Athletics,4
Miami Marlins,3,Philadelphia Phillies,4
San Francisco Giants,7,San Diego Padres,13
New York Yankees,3,Seattle Mariners,4
Pittsburgh Pirates,3,Arizona D'Backs,9
Baltimore Orioles,3,Boston Red Sox,4
Chicago Cubs,4,Cincinnati Reds,2
St. Louis Cardinals,6,Colorado Rockies,8
Cleveland Guardians,4,Detroit Tigers,3
Texas Rangers,3,Houston Astros,7
Chicago White Sox,3,Kansas City Royals,5
Miami Marlins,3,Philadelphia Phillies,0
Minnesota Twins,4,Los Angeles Angels,0
New York Yankees,2,Boston Red Sox,3
Detroit Tigers,0,Chicago White Sox,2
Arizona D'Backs,3,Colorado Rockies,5
Oakland Athletics,5,Houston Astros,7
Los Angeles Dodgers,8,Kansas City Royals,3
Atlanta Braves,4,Miami Marlins,3
Philadelphia Phillies,2,New York Mets,1
Pittsburgh Pirates,3,San Francisco Giants,5
Milwaukee Brewers,1,St. Louis Cardinals,3
Baltimore Orioles,10,Tampa Bay Rays,3
Seattle Mariners,6,Texas Rangers,2
Cleveland Guardians,8,Toronto Blue Jays,0
San Diego Padres,10,Washington Nationals,5
Minnesota Twins,3,Los Angeles Angels,5
New York Yankees,3,Boston Red Sox,2
Detroit Tigers,4,Chicago White Sox,6
Chicago Cubs,7,Cincinnati Reds,2
Arizona D'Backs,6,Colorado Rockies,0
Oakland Athletics,0,Houston Astros,8
Los Angeles Dodgers,13,Kansas City Royals,3
Atlanta Braves,5,Miami Marlins,2
Atlanta Braves,6,Miami Marlins,2
Philadelphia Phillies,0,New York Mets,1
Pittsburgh Pirates,0,San Francisco Giants,2
Milwaukee Brewers,3,St. Louis Cardinals,2
Baltimore Orioles,2,Tampa Bay Rays,8
Seattle Mariners,4,Texas Rangers,7
Cleveland Guardians,1,Toronto Blue Jays,2
San Diego Padres,3,Washington Nationals,4
Minnesota Twins,2,Los Angeles Angels,4
New York Yankees,0,Boston Red Sox,3
Detroit Tigers,3,Chicago White Sox,5
Chicago Cubs,5,Cincinnati Reds,8
Arizona D'Backs,7,Colorado Rockies,4
Oakland Athletics,3,Houston Astros,6
Los Angeles Dodgers,0,Kansas City Royals,4
Atlanta Braves,3,Miami Marlins,1
Philadelphia Phillies,0,New York Mets,6
Pittsburgh Pirates,7,San Francisco Giants,8
Milwaukee Brewers,3,St. Louis Cardinals,6
Baltimore Orioles,1,Tampa Bay Rays,4
Seattle Mariners,3,Texas Rangers,5
Cleveland Guardians,7,Toronto Blue Jays,2
San Diego Padres,6,Washington Nationals,0
Seattle Mariners,6,Los Angeles Angels,2
New York Mets,1,Atlanta Braves,13
Houston Astros,2,Chicago White Sox,4
Philadelphia Phillies,4,Cincinnati Reds,3
Detroit Tigers,1,Cleveland Guardians,4
Detroit Tigers,7,Cleveland Guardians,5
San Diego Padres,0,Miami Marlins,3
Los Angeles Dodgers,4,Milwaukee Brewers,0
Kansas City Royals,2,Minnesota Twins,4
Tampa Bay Rays,4,New York Yankees,0
Arizona D'Backs,1,San Francisco Giants,6
Oakland Athletics,1,Texas Rangers,2
Baltimore Orioles,7,Toronto Blue Jays,3
Chicago Cubs,4,Washington Nationals,5
Seattle Mariners,8,Los Angeles Angels,2
New York Mets,0,Atlanta Braves,5
Houston Astros,3,Chicago White Sox,4
Philadelphia Phillies,11,Cincinnati Reds,4
Detroit Tigers,4,Cleveland Guardians,3
San Diego Padres,3,Miami Marlins,4
Los Angeles Dodgers,4,Milwaukee Brewers,5
Kansas City Royals,0,Minnesota Twins,9
Tampa Bay Rays,3,New York Yankees,1
Boston Red Sox,5,Pittsburgh Pirates,3
Arizona D'Backs,1,San Francisco Giants,2
Colorado Rockies,4,St. Louis Cardinals,5
Oakland Athletics,5,Texas Rangers,1
Baltimore Orioles,4,Toronto Blue Jays,2
Chicago Cubs,7,Washington Nationals,5
Seattle Mariners,11,Los Angeles Angels,7
New York Mets,9,Atlanta Braves,7
Houston Astros,3,Chicago White Sox,2
Philadelphia Phillies,0,Cincinnati Reds,1
Detroit Tigers,4,Cleveland Guardians,8
San Diego Padres,10,Miami Marlins,3
Los Angeles Dodgers,2,Milwaukee Brewers,1
Kansas City Royals,0,Minnesota Twins,4
Tampa Bay Rays,7,New York Yankees,8
Boston Red Sox,8,Pittsburgh Pirates,3
Arizona D'Backs,3,San Francisco Giants,2
Colorado Rockies,1,St. Louis Cardinals,5
Oakland Athletics,7,Texas Rangers,2
Baltimore Orioles,1,Toronto Blue Jays,6
Chicago Cubs,3,Washington Nationals,2
New York Mets,2,Atlanta Braves,3
Chicago Cubs,3,Baltimore Orioles,2
Houston Astros,21,Chicago White Sox,5
Los Angeles Dodgers,3,Milwaukee Brewers,5
Toronto Blue Jays,9,New York Yankees,2
Boston Red Sox,2,Pittsburgh Pirates,8
Washington Nationals,3,San Diego Padres,1
Arizona D'Backs,5,San Francisco Giants,0
Colorado Rockies,0,St. Louis Cardinals,13
Kansas City Royals,1,Tampa Bay Rays,7
Oakland Athletics,3,Texas Rangers,10
St. Louis Cardinals,5,Arizona D'Backs,1
Houston Astros,2,Atlanta Braves,6
Boston Red Sox,10,Baltimore Orioles,15
Milwaukee Brewers,7,Chicago Cubs,8
Chicago White Sox,2,Cleveland Guardians,5
San Francisco Giants,4,Colorado Rockies,7
Los Angeles Angels,1,Detroit Tigers,0
Miami Marlins,1,Los Angeles Dodgers,2
Texas Rangers,1,Minnesota Twins,2
Toronto Blue Jays,4,New York Yankees,0
Seattle Mariners,10,Oakland Athletics,2
New York Mets,7,Philadelphia Phillies,2
Cincinnati Reds,4,Pittsburgh Pirates,5
Washington Nationals,6,San Diego Padres,3
Kansas City Royals,3,Tampa Bay Rays,2
St. Louis Cardinals,16,Arizona D'Backs,7
Houston Astros,4,Atlanta Braves,5
Boston Red Sox,4,Baltimore Orioles,3
Milwaukee Brewers,5,Chicago Cubs,6
Chicago White Sox,2,Cleveland Guardians,0
San Francisco Giants,3,Colorado Rockies,4
Los Angeles Angels,3,Detroit Tigers,4
Miami Marlins,0,Los Angeles Dodgers,7
Texas Rangers,4,Minnesota Twins,3
Toronto Blue Jays,5,New York Yankees,2
Seattle Mariners,3,Oakland Athletics,4
New York Mets,8,Philadelphia Phillies,2
New York Mets,1,Philadelphia Phillies,4
Cincinnati Reds,10,Pittsburgh Pirates,1
Washington Nationals,1,San Diego Padres,2
Kansas City Royals,2,Tampa Bay Rays,5
St. Louis Cardinals,6,Arizona D'Backs,4
Houston Astros,5,Atlanta Braves,4
Boston Red Sox,3,Baltimore Orioles,5
Milwaukee Brewers,5,Chicago Cubs,2
San Francisco Giants,9,Colorado Rockies,8
Los Angeles Angels,0,Detroit Tigers,4
Miami Marlins,3,Los Angeles Dodgers,10
Texas Rangers,7,Minnesota Twins,0
Toronto Blue Jays,2,New York Yankees,4
Seattle Mariners,3,Oakland Athletics,5
New York Mets,10,Philadelphia Phillies,9
Cincinnati Reds,9,Pittsburgh Pirates,5
Washington Nationals,1,San Diego Padres,2
Kansas City Royals,2,Tampa Bay Rays,3
St. Louis Cardinals,1,Chicago Cubs,0
Chicago White Sox,4,Kansas City Royals,6
Milwaukee Brewers,4,Los Angeles Dodgers,0
Texas Rangers,2,Minnesota Twins,1
New York Mets,2,New York Yankees,4
Miami Marlins,3,Oakland Athletics,0
Cincinnati Reds,1,Philadelphia Phillies,4
Atlanta Braves,2,Pittsburgh Pirates,1
Los Angeles Angels,1,Tampa Bay Rays,2
Chicago White Sox,3,Baltimore Orioles,5
Toronto Blue Jays,9,Boston Red Sox,3
St. Louis Cardinals,0,Chicago Cubs,2
St. Louis Cardinals,13,Chicago Cubs,3
Texas Rangers,6,Colorado Rockies,7
San Francisco Giants,3,Detroit Tigers,1
Minnesota Twins,2,Houston Astros,4
Arizona D'Backs,7,Kansas City Royals,3
Milwaukee Brewers,1,Los Angeles Dodgers,10
New York Mets,2,New York Yankees,4
Miami Marlins,5,Oakland Athletics,3
Cincinnati Reds,6,Philadelphia Phillies,7
Atlanta Braves,6,Pittsburgh Pirates,1
Cleveland Guardians,3,San Diego Padres,1
Washington Nationals,2,Seattle Mariners,4
Los Angeles Angels,1,Tampa Bay Rays,11
Chicago White Sox,5,Baltimore Orioles,3
Toronto Blue Jays,3,Boston Red Sox,2
St. Louis Cardinals,1,Chicago Cubs,7
Texas Rangers,16,Colorado Rockies,4
