Away Team,Away Score,Home Team,Home Score
Houston Astros,3,San Diego Padres,5
Texas Rangers,1,Seattle Mariners,4
Arizona D'Backs,1,San Francisco Giants,6
Cincinnati Reds,2,St. Louis Cardinals,6
Toronto Blue Jays,4,Tampa Bay Rays,5
Miami Marlins,3,Washington Nationals,9
Colorado Rockies,3,Arizona D'Backs,2
Minnesota Twins,3,Cleveland Indians,2
Chicago Cubs,9,Detroit Tigers,3
Los Angeles Angels,4,Houston Astros,11
Cincinnati Reds,2,Milwaukee Brewers,4
Kansas City Royals,3,St. Louis Cardinals,9
Toronto Blue Jays,6,Tampa Bay Rays,4
Oakland Athletics,2,Texas Rangers,3
Miami Marlins,11,Washington Nationals,8
Colorado Rockies,5,Arizona D'Backs,4
Pittsburgh Pirates,0,Chicago White Sox,4
Minnesota Twins,2,Cleveland Indians,4
Chicago Cubs,1,Detroit Tigers,7
Los Angeles Angels,3,Houston Astros,6
Los Angeles Angels,12,Houston Astros,5
Cincinnati Reds,2,Milwaukee Brewers,3
Miami Marlins,4,New York Mets,0
Miami Marlins,3,New York Mets,0
Seattle Mariners,8,San Diego Padres,3
Los Angeles Dodgers,8,San Francisco Giants,10
Kansas City Royals,5,St. Louis Cardinals,4
Baltimore Orioles,2,Tampa Bay Rays,4
Oakland Athletics,10,Texas Rangers,3
Boston Red Sox,9,Toronto Blue Jays,7
Philadelphia Phillies,8,Washington Nationals,3
Colorado Rockies,8,Arizona D'Backs,7
New York Yankees,1,Atlanta Braves,5
New York Yankees,1,Atlanta Braves,2
Pittsburgh Pirates,3,Chicago White Sox,10
Minnesota Twins,3,Cleveland Indians,6
Chicago Cubs,6,Detroit Tigers,7
Miami Marlins,4,New York Mets,5
Kansas City Royals,5,St. Louis Cardinals,6
Baltimore Orioles,3,Tampa Bay Rays,4
Oakland Athletics,3,Texas Rangers,1
Boston Red Sox,1,Toronto Blue Jays,9
Philadelphia Phillies,3,Washington Nationals,2
Cincinnati Reds,6,Milwaukee Brewers,1
Cincinnati Reds,6,Milwaukee Brewers,0
Seattle Mariners,7,San Diego Padres,10
Seattle Mariners,8,San Diego Padres,3
Los Angeles Dodgers,7,San Francisco Giants,0
Los Angeles Dodgers,2,San Francisco Giants,0
Pittsburgh Pirates,4,St. Louis Cardinals,3
Pittsburgh Pirates,2,St. Louis Cardinals,0
Seattle Mariners,2,Los Angeles Angels,3
San Francisco Giants,4,Arizona D'Backs,7
Washington Nationals,10,Boston Red Sox,2
Kansas City Royals,5,Chicago White Sox,6
Chicago Cubs,5,Cincinnati Reds,6
San Diego Padres,10,Colorado Rockies,4
Tampa Bay Rays,2,Miami Marlins,0
Pittsburgh Pirates,1,Milwaukee Brewers,9
New York Mets,6,New York Yankees,4
New York Mets,4,New York Yankees,3
Atlanta Braves,4,Philadelphia Phillies,7
Cleveland Indians,14,St. Louis Cardinals,2
Los Angeles Dodgers,2,Texas Rangers,6
Baltimore Orioles,4,Toronto Blue Jays,5
Seattle Mariners,3,Los Angeles Angels,16
San Francisco Giants,5,Arizona D'Backs,2
Washington Nationals,3,Boston Red Sox,5
Kansas City Royals,9,Chicago White Sox,6
Chicago Cubs,3,Cincinnati Reds,0
Chicago Cubs,5,Cincinnati Reds,6
San Diego Padres,3,Colorado Rockies,4
Minnesota Twins,2,Detroit Tigers,8
Minnesota Twins,2,Detroit Tigers,4
Oakland Athletics,2,Houston Astros,4
Oakland Athletics,3,Houston Astros,6
Tampa Bay Rays,4,Miami Marlins,0
Pittsburgh Pirates,6,Milwaukee Brewers,7
New York Mets,1,New York Yankees,2
Atlanta Braves,1,Philadelphia Phillies,4
Cleveland Indians,2,St. Louis Cardinals,1
Los Angeles Dodgers,7,Texas Rangers,4
Baltimore Orioles,0,Toronto Blue Jays,5
Seattle Mariners,2,Los Angeles Angels,1
San Francisco Giants,4,Arizona D'Backs,1
Washington Nationals,5,Boston Red Sox,9
Kansas City Royals,2,Chicago White Sox,5
Chicago Cubs,10,Cincinnati Reds,1
San Diego Padres,13,Colorado Rockies,2
Minnesota Twins,2,Detroit Tigers,3
Tampa Bay Rays,12,Miami Marlins,7
Pittsburgh Pirates,5,Milwaukee Brewers,1
New York Mets,7,New York Yankees,8
New York Mets,2,New York Yankees,5
Atlanta Braves,12,Philadelphia Phillies,10
Cleveland Indians,2,St. Louis Cardinals,7
Los Angeles Dodgers,7,Texas Rangers,2
Baltimore Orioles,5,Toronto Blue Jays,6
Seattle Mariners,2,Los Angeles Angels,1
Atlanta Braves,6,Boston Red Sox,3
St. Louis Cardinals,7,Cincinnati Reds,5
San Diego Padres,6,Colorado Rockies,0
Cleveland Indians,1,Kansas City Royals,2
Pittsburgh Pirates,5,Milwaukee Brewers,6
Chicago White Sox,8,Minnesota Twins,5
Tampa Bay Rays,5,New York Yankees,3
Miami Marlins,5,New York Mets,3
Washington Nationals,6,Philadelphia Phillies,8
Baltimore Orioles,4,Toronto Blue Jays,3
New York Mets,5,Baltimore Orioles,9
Atlanta Braves,10,Boston Red Sox,3
St. Louis Cardinals,16,Cincinnati Reds,2
San Francisco Giants,23,Colorado Rockies,5
Texas Rangers,6,Houston Astros,5
Cleveland Indians,10,Kansas City Royals,1
Arizona D'Backs,3,Los Angeles Dodgers,6
Toronto Blue Jays,2,Miami Marlins,3
Detroit Tigers,12,Milwaukee Brewers,1
Chicago White Sox,2,Minnesota Twins,3
Tampa Bay Rays,3,New York Yankees,5
Washington Nationals,0,Philadelphia Phillies,6
Chicago Cubs,8,Pittsburgh Pirates,7
San Diego Padres,11,Los Angeles Angels,4
New York Mets,9,Baltimore Orioles,4
Atlanta Braves,7,Boston Red Sox,5
St. Louis Cardinals,3,Cincinnati Reds,4
San Francisco Giants,6,Colorado Rockies,9
Texas Rangers,1,Houston Astros,2
Cleveland Indians,5,Kansas City Royals,0
Arizona D'Backs,2,Los Angeles Dodgers,3
Toronto Blue Jays,2,Miami Marlins,1
Detroit Tigers,5,Milwaukee Brewers,8
Chicago White Sox,1,Minnesota Twins,8
Tampa Bay Rays,5,New York Yankees,2
Washington Nationals,0,Philadelphia Phillies,3
Chicago Cubs,8,Pittsburgh Pirates,2
San Diego Padres,0,Los Angeles Angels,2
Toronto Blue Jays,6,Boston Red Sox,2
Texas Rangers,4,Houston Astros,8
Chicago White Sox,11,Kansas City Royals,6
Arizona D'Backs,1,Los Angeles Dodgers,5
New York Yankees,7,New York Mets,9
Washington Nationals,5,Philadelphia Phillies,6
Chicago Cubs,2,Pittsburgh Pirates,6
Houston Astros,5,Los Angeles Angels,6
Washington Nationals,1,Atlanta Braves,7
Washington Nationals,10,Atlanta Braves,9
New York Yankees,6,Baltimore Orioles,5
New York Yankees,3,Baltimore Orioles,6
Toronto Blue Jays,8,Boston Red Sox,7
Toronto Blue Jays,2,Boston Red Sox,3
St. Louis Cardinals,1,Chicago Cubs,4
Milwaukee Brewers,7,Cleveland Indians,1
Chicago White Sox,7,Kansas City Royals,4
Colorado Rockies,6,Los Angeles Dodgers,10
Detroit Tigers,0,Minnesota Twins,2
Detroit Tigers,2,Minnesota Twins,3
Philadelphia Phillies,5,New York Mets,3
San Diego Padres,7,Oakland Athletics,0
Cincinnati Reds,4,Pittsburgh Pirates,2
Cincinnati Reds,3,Pittsburgh Pirates,4
Texas Rangers,3,Seattle Mariners,6
Arizona D'Backs,6,San Francisco Giants,5
Miami Marlins,4,Tampa Bay Rays,5
Houston Astros,9,Los Angeles Angels,10
Houston Astros,6,Los Angeles Angels,7
Washington Nationals,10,Atlanta Braves,4
New York Yankees,1,Baltimore Orioles,6
Toronto Blue Jays,8,Boston Red Sox,9
St. Louis Cardinals,4,Chicago Cubs,2
St. Louis Cardinals,5,Chicago Cubs,1
Milwaukee Brewers,3,Cleveland Indians,4
Chicago White Sox,5,Kansas City Royals,3
Colorado Rockies,5,Los Angeles Dodgers,2
Detroit Tigers,3,Minnesota Twins,4
Philadelphia Phillies,1,New York Mets,5
San Diego Padres,4,Oakland Athletics,8
Cincinnati Reds,6,Pittsburgh Pirates,2
Texas Rangers,3,Seattle Mariners,5
Arizona D'Backs,3,San Francisco Giants,4
